,Business ID,Review,Compound,Business Name,Business Alias,Category,City,State,ZipCode,Lat,Long,Review Count,Rating
0,bZWG4X0z0SrJta7k9mlLog,"I needed a conveyancer for a Bexleyheath house purchase, but struggled to find recommendations online, so instead requested a few solicitors to provide me...",-0.4767,McMillan Williams Solicitors,mcmillan-williams-solicitors-bexleyheath-4,divorce,Bexleyheath,XGL,DA7 4JB,51.4569141,0.1477826,1,5.0
1,bMH6hI_WwYkeACoa7Aqr4Q,An approach was made to Donovan & Associate for the first time to rectify mistakes made by another process server n an important case involving our...,-0.1779,Donovan & Associates,donovan-and-associates-london,divorce,London,KEN,DA2 7NN,51.4230394,0.1680259,2,5.0
2,bMH6hI_WwYkeACoa7Aqr4Q,"Donovan and Associates were instructed in a very sensitive family matter pertaining to custody proceedings.
The matter was completed with tact and...",0.1846,Donovan & Associates,donovan-and-associates-london,divorce,London,KEN,DA2 7NN,51.4230394,0.1680259,2,5.0
3,6waf0CeYVCqBWUui51_0hQ,I used Attwood & Co as my divorce lawyers last year and they were brilliant! They helped me every step of the way - were professional and affordable. I...,0.6239,Attwood & Co Solicitors,attwood-and-co-solicitors-grays,divorce,Grays,THR,RM17 5XY,51.4783633,0.3217622,3,5.0
4,6waf0CeYVCqBWUui51_0hQ,I used Attwood & Co as my divorce lawyers last year and they were brilliant! They helped me every step of the way - were professional and affordable. I...,0.6239,Attwood & Co Solicitors,attwood-and-co-solicitors-grays,divorce,Grays,THR,RM17 5XY,51.4783633,0.3217622,3,5.0
5,6waf0CeYVCqBWUui51_0hQ,Attwood are a group of Essex solicitors who work in many legal fields. I contacted them regarding a potential personal injury claim and they were extremely...,-0.3182,Attwood & Co Solicitors,attwood-and-co-solicitors-grays,divorce,Grays,THR,RM17 5XY,51.4783633,0.3217622,3,5.0
6,6waf0CeYVCqBWUui51_0hQ,Attwood are a group of Essex solicitors who work in many legal fields. I contacted them regarding a potential personal injury claim and they were extremely...,-0.3182,Attwood & Co Solicitors,attwood-and-co-solicitors-grays,divorce,Grays,THR,RM17 5XY,51.4783633,0.3217622,3,5.0
7,6waf0CeYVCqBWUui51_0hQ,I had an excellent experience with Attwood Solicitors. They were extremely helpful - I couldn't have asked for any more. I highly recommend them.,0.8709,Attwood & Co Solicitors,attwood-and-co-solicitors-grays,divorce,Grays,THR,RM17 5XY,51.4783633,0.3217622,3,5.0
8,6waf0CeYVCqBWUui51_0hQ,I had an excellent experience with Attwood Solicitors. They were extremely helpful - I couldn't have asked for any more. I highly recommend them.,0.8709,Attwood & Co Solicitors,attwood-and-co-solicitors-grays,divorce,Grays,THR,RM17 5XY,51.4783633,0.3217622,3,5.0
9,lZMNxVNHY5cvTZuFJ8D_nw,"I was told about this company by my friend who had used them and had good service. So when we wanted a will we contacted them, and they are very easy to use...",0.8516,Phoenix Wills,phoenix-wills-london,localservices,London,XGL,DA8 1BA,51.4796947,0.182104,1,4.0
10,c5wce3ZliLmyfKXhqYpJRg,Cain Associates acted on our sale and they were not at all efficient or courteous. They expected us to read and correct the contract ourselves and did not...,0.2425,Cain Associates,cain-associates-london,lawyers,London,XGL,DA6 8DG,51.4579665,0.1347189,2,2.5
11,c5wce3ZliLmyfKXhqYpJRg,"Cain Associates recently acted for us on the sale and purchase of our properties. From first point of call through to completion, Mr Cain and his team were...",0.0,Cain Associates,cain-associates-london,lawyers,London,XGL,DA6 8DG,51.4579665,0.1347189,2,2.5
12,cOfpXiyVEIQFLoM4UkRRFg,"Absolutely shocking, very unpleasant experience. Nearly six months to sell a two bedroom flat. Our post was sent to the incorrect address. We received other...",-0.7684,Cumming & Riley Solicitors,cumming-and-riley-solicitors-grays,lawyers,Grays,KEN,RM17 6NB,51.4760424,0.3227773,2,1.5
13,cOfpXiyVEIQFLoM4UkRRFg,"Absolutely shocking, very unpleasant experience. Nearly six months to sell a two bedroom flat. Our post was sent to the incorrect address. We received other...",-0.7684,Cumming & Riley Solicitors,cumming-and-riley-solicitors-grays,lawyers,Grays,KEN,RM17 6NB,51.4760424,0.3227773,2,1.5
14,cOfpXiyVEIQFLoM4UkRRFg,"not one of the best solictiors that is around, only seem intrested in what they can get in their pockets and not intrested in their clients.",0.6369,Cumming & Riley Solicitors,cumming-and-riley-solicitors-grays,lawyers,Grays,KEN,RM17 6NB,51.4760424,0.3227773,2,1.5
15,cOfpXiyVEIQFLoM4UkRRFg,"not one of the best solictiors that is around, only seem intrested in what they can get in their pockets and not intrested in their clients.",0.6369,Cumming & Riley Solicitors,cumming-and-riley-solicitors-grays,lawyers,Grays,KEN,RM17 6NB,51.4760424,0.3227773,2,1.5
16,R-eAHDhd1y98zB5hwiQYEA,"Look elsewhere: I normally like to balance any review I write online, however I am going to struggle here. 

+ Cheaper than some of the local competition, I...",0.0516,Margaret Reynolds Solicitors,margaret-reynolds-solicitors-grays,lawyers,Grays,THR,RM17 5XY,51.4783444,0.3216073,1,1.0
17,R-eAHDhd1y98zB5hwiQYEA,"Look elsewhere: I normally like to balance any review I write online, however I am going to struggle here. 

+ Cheaper than some of the local competition, I...",0.0516,Margaret Reynolds Solicitors,margaret-reynolds-solicitors-grays,lawyers,Grays,THR,RM17 5XY,51.4783444,0.3216073,1,1.0
18,KOnmW-c8eYtDENqSSlXupg,"Do not use this solicitors unless you want to be overcharged for work that was never done!!! Most lying deceitful solicitors I've ever come across, conned...",0.2478,Sackvilles Solicitors,sackvilles-solicitors-rainham,lawyers,Rainham,XGL,RM13 9YL,51.51864,0.190482,1,1.0
19,JlsGpIKqx6dvY_DXHL27IA,"My call to this group was a godsend for me. Jordan Watson was very helpful in rectifying my legal issues. They are fast, too. I highly recommend this group.",0.8803,Speeding Ticket,speeding-ticket-kansas-city,trafficticketinglaw,Kansas City,MO,64131,39.012985606288,-94.5766060200728,13,4.5
20,JlsGpIKqx6dvY_DXHL27IA,"My call to this group was a godsend for me. Jordan Watson was very helpful in rectifying my legal issues. They are fast, too. I highly recommend this group.",0.8803,Speeding Ticket,speeding-ticket-kansas-city,trafficticketinglaw,Kansas City,MO,64131,39.012985606288,-94.5766060200728,13,4.5
21,JlsGpIKqx6dvY_DXHL27IA,"My call to this group was a godsend for me. Jordan Watson was very helpful in rectifying my legal issues. They are fast, too. I highly recommend this group.",0.8803,Speeding Ticket,speeding-ticket-kansas-city,trafficticketinglaw,Kansas City,MO,64131,39.012985606288,-94.5766060200728,13,4.5
